Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Produtor,Genero,Jogo
Dungeons 3,2017.0,Strategy,Kalypso Media,0.03,0.0,0.0,0.01,0.04,67,15,195
Tour de France 2014,2014.0,Sports,Focus Home Interactive,0.0,0.03,0.0,0.01,0.04,45,14,715
Danganronpa Another Episode: Ultra Despair Girls,2017.0,Shooter,NIS America,0.03,0.0,0.01,0.01,0.04,85,12,127
Aegis of Earth: Protonovus Assault,2016.0,Action,PQube,0.03,0.01,0.0,0.01,0.04,95,0,9
Just Sing,2016.0,Music,Ubisoft,0.03,0.0,0.0,0.01,0.04,140,6,319
Wonder Boy: The Dragon's Trap (Remake),2018.0,Platform,Nicalis,0.03,0.0,0.0,0.01,0.04,87,8,775
Lumo,2016.0,Puzzle,Rising Star Games,0.03,0.0,0.0,0.01,0.04,106,9,364
ABZU,2017.0,Adventure,505 Games,0.03,0.0,0.0,0.01,0.04,3,2,3
Shadow Tactics: Blades of the Shogun,2017.0,Strategy,Kalypso Media,0.02,0.01,0.0,0.01,0.04,67,15,574
Darkest Dungeon,2018.0,Role-Playing,Merge Games,0.02,0.0,0.01,0.01,0.04,79,11,131
R.B.I. Baseball 2017,2017.0,Sports,MLB.com,0.03,0.0,0.0,0.01,0.04,75,14,508
Punch Line,2015.0,Adventure,5pb,0.03,0.0,0.0,0.01,0.04,4,2,499
VR Karts,2017.0,Racing,Perp Games,0.03,0.0,0.0,0.01,0.04,98,10,741
Resident Evil: Umbrella Corps,2016.0,Shooter,Capcom,0.0,0.0,0.04,0.0,0.04,25,12,533
Marvel Pinball: Epic Collection Volume 1,2016.0,Puzzle,Nighthawk Interactive,0.03,0.0,0.0,0.01,0.04,88,9,383
God Eater Off Shot: Lindow-hen Twin Pack & Animation Vol. 2,2015.0,Misc,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,86,5,258
Infamous: First Light,2014.0,Action,Sony Computer Entertainment,0.0,0.03,0.0,0.0,0.03,112,0,304
Raiden V,2017.0,Action,UFO Interactive,0.02,0.0,0.0,0.01,0.03,138,0,513
The Peanuts Movie: Snoopy's Grand Adventure,2015.0,Platform,Activision,0.0,0.03,0.0,0.0,0.03,8,8,676
The Dwarves,2016.0,Role-Playing,THQ Nordic,0.03,0.0,0.0,0.01,0.03,121,11,649
Dynasty Warriors: Eiketsuden,2016.0,Strategy,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,129,15,199
Winning Post 8 2016,2016.0,Simulation,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,129,13,767
Dragon's Dogma Online: Season 2,2016.0,Action,Capcom,0.0,0.0,0.03,0.0,0.03,25,0,189
Coven and Labyrinth of Refrain,2017.0,Action,Nippon Ichi Software,0.01,0.0,0.01,0.0,0.03,90,0,117
Super Dungeon Bros,2016.0,Action,Wired Productions,0.02,0.0,0.0,0.01,0.03,146,0,618
Blade Arcus from Shining EX,2015.0,Fighting,Sega,0.0,0.0,0.03,0.0,0.03,108,3,78
Troll and I,2017.0,Action,Maximum Games,0.02,0.0,0.0,0.01,0.03,77,0,723
The Pillars of the Earth,2017.0,Adventure,Kalypso Media,0.02,0.0,0.0,0.01,0.03,67,2,677
The Lost Child,2017.0,Action,Kadokawa Games,0.01,0.0,0.01,0.0,0.03,66,0,674
Romance of the Three Kingdoms 13 with Power-Up Kit,2017.0,Misc,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,129,5,550
Koihime Enbu,2016.0,Fighting,Yeti,0.0,0.0,0.03,0.0,0.03,149,3,333
Road Rage,2017.0,Racing,Maximum Games,0.02,0.0,0.0,0.01,0.03,77,10,542
Winning Post 8 2017,2017.0,Misc,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,129,5,768
Dino Dini's Kick Off Revival,2016.0,Sports,Avanquest,0.0,0.02,0.0,0.0,0.03,15,14,165
God Eater Off Shot:Shiou-hen Twin Pack & Animation Vol.5,2016.0,Misc,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,86,5,261
Tumblestone,2016.0,Puzzle,Nighthawk Interactive,0.02,0.0,0.0,0.01,0.03,88,9,726
Blackguards 2,2017.0,Strategy,Kalypso Media,0.02,0.0,0.0,0.01,0.03,67,15,76
Baja: Edge of Control HD,2017.0,Racing,THQ Nordic,0.02,0.0,0.0,0.01,0.03,121,10,53
Crows: Burning Edge,2016.0,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,86,0,120
Geometry Wars 3: Dimensions Evolved,2016.0,Action,Activision,0.02,0.0,0.0,0.01,0.03,8,0,252
We Sing (2016),2016.0,Music,THQ Nordic,0.02,0.0,0.0,0.01,0.03,121,6,764
Shin Hayarigami 2,2016.0,Adventure,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03,90,2,581
The Town of Light,2017.0,Adventure,Wired Productions,0.02,0.0,0.0,0.01,0.03,146,2,684
OlliOlli: Epic Combo Edition,2016.0,Platform,Badland Studio,0.02,0.0,0.0,0.01,0.03,16,8,457
Naruto Shippuden Ultimate Ninja Storm 4: Road to Boruto,2017.0,Fighting,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,86,3,431
Ao no Kanata no Four Rhythm,2017.0,Visual Novel,Sprite,0.0,0.0,0.03,0.0,0.03,116,16,26
Zero Escape: Zero Time Dilemma,2017.0,Adventure,Aksys Games,0.02,0.0,0.0,0.0,0.03,9,2,797
AereA,2017.0,Role-Playing,Soedesco,0.02,0.0,0.0,0.0,0.03,110,11,10
Root Letter,2016.0,Visual Novel,PQube,0.0,0.0,0.03,0.0,0.03,95,16,551
ClaDun Sengoku,2017.0,Action,NIS America,0.02,0.0,0.0,0.0,0.03,85,0,113
The Girl and the Robot,2017.0,Misc,Soedesco,0.02,0.0,0.0,0.0,0.03,110,5,659
Omega Quintet,2014.0,Role-Playing,Compile Heart,0.0,0.0,0.02,0.0,0.03,29,11,459
Touhou Kobuto V: Burst Battle,2017.0,Shooter,NIS America,0.02,0.0,0.0,0.0,0.03,85,12,710
God Eater Off Shot: Soma Shikkuzaru-hen Twin Pack & Animation Vol.4,2016.0,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,86,0,259
Rugby League Live 3,2015.0,Sports,Tru Blu Entertainment,0.0,0.02,0.0,0.0,0.02,136,14,556
Omega Labyrinth Z,2017.0,Role-Playing,D3Publisher,0.0,0.0,0.02,0.0,0.02,31,11,458
Lost Sphear,2017.0,Role-Playing,Square Enix,0.0,0.0,0.02,0.0,0.02,117,11,363
Superbeat: Xonic,2017.0,Music,PM Studios,0.02,0.0,0.0,0.0,0.02,94,6,623
Republique,2016.0,Action-Adventure,Gunho Online Entertainment,0.0,0.01,0.01,0.0,0.02,59,1,524
Super Stardust Ultra VR,2016.0,Shooter,Sony Interactive Entertainment,0.0,0.02,0.0,0.0,0.02,113,12,622
Redout,2017.0,Racing,505 Games,0.02,0.0,0.0,0.0,0.02,3,10,522
Resident Evil: Value Pack,2016.0,Action-Adventure,Capcom,0.0,0.0,0.02,0.0,0.02,25,1,534
God Eater Off Shot: Tachibana Sakuya-hen Twin Pack & Animation Vol.7,2016.0,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,86,0,260
PaRappa the Rapper Remastered,2017.0,Music,Sony Interactive Entertainment,0.0,0.0,0.02,0.0,0.02,113,6,469
Earth's Dawn,2016.0,Action,Rising Star Games,0.02,0.0,0.0,0.0,0.02,106,0,208
Big Buck Hunter Arcade,2016.0,Shooter,GameMill Entertainment,0.02,0.0,0.0,0.0,0.02,52,12,70
Dungeons 2,2016.0,Role-Playing,Kalypso Media,0.02,0.0,0.0,0.0,0.02,67,11,194
Tricky Towers,2017.0,Puzzle,Soedesco,0.02,0.0,0.0,0.0,0.02,110,9,722
No Heroes Allowed! VR,2017.0,Strategy,Sony Interactive Entertainment,0.0,0.0,0.02,0.0,0.02,113,15,448
ArmaGallant: Decks of Destiny,2017.0,Strategy,Maximum Games,0.02,0.0,0.0,0.0,0.02,77,15,29
Carmageddon: Max Damage,2016.0,Action,Stainless Games,0.02,0.0,0.0,0.0,0.02,118,0,103
Armello,2018.0,Strategy,League of Geeks,0.02,0.0,0.0,0.0,0.02,71,15,30
Shaq-Fu: A Legend Reborn,2018.0,Action,Wired Productions,0.02,0.0,0.0,0.0,0.02,146,0,578
Patapon Remastered,2017.0,Music,Sony Interactive Entertainment,0.0,0.0,0.02,0.0,0.02,113,6,472
Monster Hunter Frontier Z: Beginner's Package,2016.0,Action,Capcom,0.0,0.0,0.02,0.0,0.02,25,0,404
Professional Farmer 2016,2015.0,Action,Namco Bandai Games,0.0,0.02,0.0,0.0,0.02,86,0,491
Natsuiro High School: Seishun Hakusho,2015.0,Action,D3Publisher,0.0,0.0,0.02,0.0,0.02,31,0,435
The Inner World: The Last Wind Monk,2017.0,Puzzle,Kalypso Media,0.02,0.0,0.0,0.0,0.02,67,9,663
SteamWorld Collection,2016.0,Misc,Rising Star Games,0.02,0.0,0.0,0.0,0.02,106,5,609
Konoyo no Hate de Koi o Utau Shoujo: Yu-No,2017.0,Visual Novel,5pb,0.0,0.0,0.02,0.0,0.02,4,16,335
God Eater Off Shot: Fujiki Kota-hen Twin Pack & Animation Vol.6,2016.0,Misc,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,86,5,257
Genkai Tokki: Castle Panzers,2017.0,Role-Playing,Compile Heart,0.0,0.0,0.02,0.0,0.02,29,11,251
Skullgirls: 2nd Encore,2016.0,Fighting,Arc System Works,0.0,0.0,0.02,0.0,0.02,11,3,586
This Is The Police,2017.0,Simulation,THQ Nordic,0.01,0.0,0.0,0.0,0.02,121,13,696
Rabbids Invasion: The Interactive TV Show,2014.0,Misc,Ubisoft,0.0,0.01,0.0,0.0,0.02,140,5,510
FlatOut 4: Total Insanity,2017.0,Racing,Bigben Interactive,0.01,0.0,0.0,0.0,0.02,21,10,243
Chaos;Child,2015.0,Visual Novel,PQube,0.0,0.0,0.02,0.0,0.02,95,16,108
Touhou Shinhiroku: Urban Legend in Limbo,2016.0,Fighting,Mediascape,0.0,0.0,0.02,0.0,0.02,78,3,711
Rogue Trooper: Redux,2017.0,Shooter,Rebellion,0.01,0.0,0.0,0.0,0.02,102,12,548
Space Hulk: Deathwing,2015.0,Shooter,Focus Home Interactive,0.0,0.01,0.0,0.0,0.02,45,12,600
Pharaonic,2017.0,Action,Soedesco,0.01,0.0,0.0,0.0,0.02,110,0,477
White Day,2017.0,Action,PQube,0.0,0.01,0.01,0.0,0.02,95,0,766
Torment: Tides of Numenera,2017.0,Role-Playing,Techland,0.01,0.0,0.0,0.0,0.01,128,11,707
Let It Die,2017.0,Action,GungHo,0.0,0.01,0.01,0.0,0.01,58,0,353
Summer Lesson: Miyamoto Hikari Collection,2017.0,Adventure,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01,86,2,616
Raven's Cry,2015.0,Role-Playing,TopWare Interactive,0.0,0.01,0.0,0.0,0.01,133,11,516
New Game! The Challenge Stage!,2017.0,Adventure,5pb,0.0,0.0,0.01,0.0,0.01,4,2,441
Hakoniwa Company Works,2017.0,Strategy,Nippon Ichi Software,0.0,0.0,0.01,0.0,0.01,90,15,282
DJ Max Respect,2017.0,Misc,Arc System Works,0.0,0.0,0.01,0.0,0.01,11,5,124
Battle Worlds: Kronos,2016.0,Strategy,Nordic Games,0.01,0.0,0.0,0.0,0.01,91,15,61
Dragon's Dogma Online: Season 3,2017.0,Role-Playing,Capcom,0.0,0.0,0.01,0.0,0.01,25,11,190
Occultic;Nine,2017.0,Adventure,5pb,0.0,0.0,0.01,0.0,0.01,4,2,453
Kono Subarashii Sekai ni Shukufuku o! Kono Yokubukai Game ni Shinpan o!,2017.0,Adventure,5pb,0.0,0.0,0.01,0.0,0.01,4,2,334
Battle Garegga Rev.2016,2016.0,Strategy,M2,0.0,0.0,0.01,0.0,0.01,74,15,60
Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru. & Zoku: Oatome Set,2017.0,Adventure,5pb,0.0,0.0,0.01,0.0,0.01,4,2,783
Farming 2017 - The Simulation,2016.0,Simulation,UIG Entertainment,0.0,0.01,0.0,0.0,0.01,139,13,230
Re:Zero - Kara Hajimeru Isekai Seikatsu - Death or Kiss,2017.0,Adventure,5pb,0.0,0.0,0.01,0.0,0.01,4,2,518
Zombie Vikings,2016.0,Action,Rising Star Games,0.0,0.01,0.0,0.0,0.01,106,0,801
ATV Renegades,2017.0,Racing,Nighthawk Interactive,0.01,0.0,0.0,0.0,0.01,88,10,6
Ziggurat,2016.0,Shooter,Soedesco,0.0,0.01,0.0,0.0,0.01,110,12,798
Chaos;Child: Love Chu Chu!!,2017.0,Visual Novel,5pb,0.0,0.0,0.01,0.0,0.01,4,16,109
Moto Racer 4,2016.0,Racing,PQube,0.01,0.0,0.0,0.0,0.01,95,10,409
LocoRoco Remastered,2017.0,Platform,Sony Interactive Entertainment,0.0,0.0,0.01,0.0,0.01,113,8,361
Lock's Quest,2017.0,Strategy,THQ Nordic,0.01,0.0,0.0,0.0,0.01,121,15,360
Gal Gun: Double Peace,2015.0,Action,PQube,0.0,0.0,0.01,0.0,0.01,95,0,249
Woodcutter Simulator 2016,2015.0,Action,Namco Bandai Games,0.0,0.01,0.0,0.0,0.01,86,0,777
Akiba's Trip 2+A,2017.0,Adventure,Acquire,0.0,0.0,0.01,0.0,0.01,6,2,19
Date-A-Live Twin Edition: Rio Reincarnation,2017.0,Adventure,Compile Heart,0.0,0.0,0.01,0.0,0.01,29,2,135
Valhalla Hills,2017.0,Strategy,Kalypso Media,0.01,0.0,0.0,0.0,0.01,67,15,743
Deception IV: Blood Ties,2015.0,Action,Tecmo Koei,0.0,0.0,0.01,0.0,0.01,129,0,146
One Piece: Unlimited World Red,2017.0,Action,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01,86,0,462
Hyper Light Drifter,2017.0,Role-Playing,Active Gaming Media,0.0,0.0,0.01,0.0,0.01,7,11,299
Teslagrad,2014.0,Platform,Rain Games,0.0,0.01,0.0,0.0,0.01,99,8,639
Darius Burst: Chronicle Saviours,2017.0,Action,Kadokawa Games,0.0,0.0,0.01,0.0,0.01,66,0,128
The Escapists: The Walking Dead,2016.0,Action,Team17 Software,0.0,0.0,0.0,0.0,0.01,127,0,655
Super Meat Boy,2016.0,Platform,Team Meat,0.0,0.0,0.0,0.0,0.01,125,8,619
Blood Bowl 2,2015.0,Sports,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0,45,14,83
The Witness,2016.0,Misc,"Thekla, Inc.",0.0,0.0,0.0,0.0,0.0,132,5,693
Quantic Dream Collection,2015.0,Action,Sony Computer Entertainment,0.0,0.0,0.0,0.0,0.0,112,0,504
Iwaihime: Matsuri,2017.0,Adventure,Nippon Ichi Software,0.0,0.0,0.0,0.0,0.0,90,2,308
RepKiss,2017.0,Adventure,Entergram,0.0,0.0,0.0,0.0,0.0,43,2,523
War Thunder,2017.0,Action,DMM Games,0.0,0.0,0.0,0.0,0.0,32,0,757
Tsuihou Senkyo,2017.0,Adventure,Nippon Ichi Software,0.0,0.0,0.0,0.0,0.0,90,2,725
Hustle Kings VR,2016.0,Sports,Sony Interactive Entertainment,0.0,0.0,0.0,0.0,0.0,113,14,298
Toki Tori 2+,2016.0,Puzzle,Two Tribes,0.0,0.0,0.0,0.0,0.0,137,9,699
Deception IV: The Nightmare Princess,2015.0,Action,Tecmo Koei,0.0,0.0,0.0,0.0,0.0,129,0,147
Kingdom Hearts HD I.5 + II.5 ReMIX,2017.0,Action,Square Enix,0.0,0.0,0.0,0.0,0.0,117,0,328
Fushigi no Chronicle: Furikaerimasen Katsu Madewa,2015.0,Action,Spike Chunsoft,0.0,0.0,0.0,0.0,0.0,115,0,248
Agatha Christie: The ABC Murders,2016.0,Adventure,Microids,0.0,0.0,0.0,0.0,0.0,80,2,13
Ancients of Ooga - The Forgotten Chapters,2016.0,Platform,Koch Media,0.0,0.0,0.0,0.0,0.0,68,8,23
Blacklight: Retribution,2013.0,Misc,Perfect World Entertainment,0.0,0.0,0.0,0.0,0.0,97,5,77
Bladestorm: The Hundred Years' War,2015.0,Action,BioWare,0.0,0.0,0.0,0.0,0.0,22,0,80
DC Universe Online,2013.0,MMO,Sony Online Entertainment,0.0,0.0,0.0,0.0,0.0,114,4,123
Industry Giant II,2017.0,Strategy,UIG Entertainment,0.0,0.0,0.0,0.0,0.0,139,15,303
Kingdom Under Fire II,2014.0,Misc,Unknown,0.0,0.0,0.0,0.0,0.0,141,5,329
Mount & Blade: Warband,2016.0,Role-Playing,Taleworlds,0.0,0.0,0.0,0.0,0.0,123,11,413
Psychonauts,2017.0,Action,Sony Interactive Entertainment,0.0,0.0,0.0,0.0,0.0,113,0,498
Resident Evil 5,2016.0,Action,Capcom,0.0,0.0,0.0,0.0,0.0,25,0,526
The Amazing Spider-Man 2,2014.0,Misc,Activision,0.0,0.0,0.0,0.0,0.0,8,5,642
Ether One,2015.0,Adventure,Soedesco,0.0,0.0,0.0,0.0,0.0,110,2,211
Uncharted 2: Among Thieves,2016.0,Action,Sony Interactive Entertainment,0.0,0.0,0.0,0.0,0.0,113,0,731
Uncharted 3: Drake's Deception,2016.0,Action,Sony Interactive Entertainment,0.0,0.0,0.0,0.0,0.0,113,0,732
Uncharted: Drake's Fortune,2016.0,Action,Sony Interactive Entertainment,0.0,0.0,0.0,0.0,0.0,113,0,733
Awesomenauts,2014.0,Misc,DTP Entertainment,0.0,0.0,0.0,0.0,0.0,33,5,50
Broken Age,2015.0,Adventure,Nordic Games,0.0,0.0,0.0,0.0,0.0,91,2,92
Slender: The Arrival,2015.0,Adventure,Unknown,0.0,0.0,0.0,0.0,0.0,141,2,592
Human Element,2015.0,Misc,Unknown,0.0,0.0,0.0,0.0,0.0,141,5,296
Cyberpunk 2077,2018.0,Action-Adventure,CD Projekt Red Studio,0.0,0.0,0.0,0.0,0.0,24,1,122
Contrast,2013.0,Misc,Compulsion Games,0.0,0.0,0.0,0.0,0.0,30,5,116
Carmageddon: Reincarnation,2015.0,Misc,Stainless Games,0.0,0.0,0.0,0.0,0.0,118,5,104
Yaiba: Ninja Gaiden Z,2014.0,Misc,Tecmo Koei,0.0,0.0,0.0,0.0,0.0,129,5,784
Pinball Arcade,2013.0,Misc,FarSight Studios,0.0,0.0,0.0,0.0,0.0,44,5,479
Toukiden: The Age of Demons,2014.0,Action,Tecmo Koei,0.0,0.0,0.0,0.0,0.0,129,0,714
Reus,2016.0,Strategy,Soedesco,0.0,0.0,0.0,0.0,0.0,110,15,535
Strider (2014),2014.0,Platform,Capcom,0.0,0.0,0.0,0.0,0.0,25,8,613
Velocity 2X,2014.0,Action,Futurlab 1,0.0,0.0,0.0,0.0,0.0,49,0,747
Helldivers,2015.0,Action,Sony Computer Entertainment,0.0,0.0,0.0,0.0,0.0,112,0,289
WonderFlick,2014.0,Misc,Level 5,0.0,0.0,0.0,0.0,0.0,72,5,776
Monochroma,2014.0,Misc,Nowhere Studios,0.0,0.0,0.0,0.0,0.0,92,5,402
Lily Bergamo,2014.0,Misc,GungHo,0.0,0.0,0.0,0.0,0.0,58,5,356
Get Even,2015.0,Misc,Unknown,0.0,0.0,0.0,0.0,0.0,141,5,253
TowerFall,2014.0,Misc,Unknown,0.0,0.0,0.0,0.0,0.0,141,5,716
SOMA (2015),2015.0,Misc,Frictional Games,0.0,0.0,0.0,0.0,0.0,46,5,561
Cult County,2015.0,Misc,Renegade Kid,0.0,0.0,0.0,0.0,0.0,104,5,121
R.B.I. Baseball 14,2014.0,Misc,MLB.com,0.0,0.0,0.0,0.0,0.0,75,5,505
Blue EstateÊ,2014.0,Misc,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0,45,5,86
Pure PoolÊ,2014.0,Misc,Triniti Interactive,0.0,0.0,0.0,0.0,0.0,134,5,501
Without Memory,2016.0,Misc,Unknown,0.0,0.0,0.0,0.0,0.0,141,5,770
Bombshell,2014.0,Misc,3D Realms,0.0,0.0,0.0,0.0,0.0,2,5,88
The Forest,2015.0,Action,Endnight Games LtdÊ,0.0,0.0,0.0,0.0,0.0,42,0,658
Falling Skies: The GameÊ,2015.0,Role-Playing,Little Orbit,0.0,0.0,0.0,0.0,0.0,73,11,225
EA Sports PGA Tour,2015.0,Sports,EA Sports,0.0,0.0,0.0,0.0,0.0,40,14,200
Dead Island 2,2017.0,Action,Deep Silver,0.0,0.0,0.0,0.0,0.0,35,0,137
Tetris UltimateÊ,2014.0,Puzzle,Ubisoft,0.0,0.0,0.0,0.0,0.0,140,9,640
Afro Samurai 2,2015.0,Action,Versus Evil,0.0,0.0,0.0,0.0,0.0,142,0,11
The Legend of Korra (2014),2014.0,Action,Activision,0.0,0.0,0.0,0.0,0.0,8,0,671
The Vanishing of Ethan CarterÊ,2015.0,Adventure,The Astronauts,0.0,0.0,0.0,0.0,0.0,131,2,685
Godzilla (2014),2014.0,Action,Namco Bandai Games,0.0,0.0,0.0,0.0,0.0,86,0,267
Tadeo Jones y el manuscrito perdido,2014.0,Adventure,Deep Silver,0.0,0.0,0.0,0.0,0.0,35,2,631
OlliOlli 2: Welcome to Olliwood,2016.0,Sports,PQube,0.0,0.0,0.0,0.0,0.0,95,14,456
Pathologic,2015.0,Adventure,Ice-pick Lodge,0.0,0.0,0.0,0.0,0.0,62,2,473
Rebel Galaxy,2015.0,Role-Playing,Double Damage Games,0.0,0.0,0.0,0.0,0.0,38,11,520
Assassin's Creed: Victory,2015.0,Action,Ubisoft,0.0,0.0,0.0,0.0,0.0,140,0,39
Overlord: Fellowship of Evil,2015.0,Action,Codemasters,0.0,0.0,0.0,0.0,0.0,27,0,467
R.B.I. Baseball 15,2015.0,Sports,MLB.com,0.0,0.0,0.0,0.0,0.0,75,14,506
Wander,2015.0,Role-Playing,Wander MMO,0.0,0.0,0.0,0.0,0.0,143,11,756
Ikenie to Yuki no Setsuna,2016.0,Role-Playing,Square Enix,0.0,0.0,0.0,0.0,0.0,117,11,302
Dengeki Bunko: Fighting Climax Ignition,2015.0,Action,Sega,0.0,0.0,0.0,0.0,0.0,108,0,151
World Soccer Winning Eleven 2015,2015.0,Action,Konami Digital Entertainment,0.0,0.0,0.0,0.0,0.0,70,0,778
Cross Reverie,2017.0,Role-Playing,Sinxsoft,0.0,0.0,0.0,0.0,0.0,109,11,119
Killing Bites,2016.0,Action,Unknown,0.0,0.0,0.0,0.0,0.0,141,0,321
Tiny Troopers Joint Ops,2014.0,Action,Unknown,0.0,0.0,0.0,0.0,0.0,141,0,697
The London Heist,2016.0,Shooter,Sony Computer Entertainment,0.0,0.0,0.0,0.0,0.0,112,12,673
Risen 3 Enhanced Edition,2015.0,Role-Playing,Deep Silver,0.0,0.0,0.0,0.0,0.0,35,11,540
Air Conflicts: Pacific Carriers,2015.0,Simulation,Kalypso Media,0.0,0.0,0.0,0.0,0.0,67,13,15
God Wars: Beyond Time,2016.0,Role-Playing,Kadokawa Games,0.0,0.0,0.0,0.0,0.0,66,11,263
Hasbro Family Fun Pack,2015.0,Misc,Ubisoft,0.0,0.0,0.0,0.0,0.0,140,5,285
Professional Lumberjack 2016,2015.0,Simulation,Namco Bandai Games,0.0,0.0,0.0,0.0,0.0,86,13,492
Alekhine's Gun,2016.0,Action,Maximum Games,0.0,0.0,0.0,0.0,0.0,77,0,20
Kung Fu Panda: Showdown of Legendary Legends,2015.0,Action,Little Orbit,0.0,0.0,0.0,0.0,0.0,73,0,336
Bloodborne: Complete Edition,2015.0,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.0,0.0,0.0,112,11,85
World to the West,2017.0,Action-Adventure,Soedesco,0.0,0.0,0.0,0.0,0.0,110,1,780
Berserk Musou,2016.0,Action,Tecmo Koei,0.0,0.0,0.0,0.0,0.0,129,0,68
Ginger: Beyond the Crystal,2016.0,Platform,PQube,0.0,0.0,0.0,0.0,0.0,95,8,255
Don Bradman Cricket 17,2016.0,Sports,Tru Blu Entertainment,0.0,0.0,0.0,0.0,0.0,136,14,176
Moons Of Madness,2017.0,Role-Playing,Unknown,0.0,0.0,0.0,0.0,0.0,141,11,407
Iron Harvest,2018.0,Strategy,Unknown,0.0,0.0,0.0,0.0,0.0,141,15,307
Biomutant,2018.0,Action,THQ Nordic,0.0,0.0,0.0,0.0,0.0,121,0,72
de Blob,2017.0,Platform,THQ Nordic,0.0,0.0,0.0,0.0,0.0,121,8,802
Chaos on Deponia,2017.0,Adventure,Daedalic Entertainment,0.0,0.0,0.0,0.0,0.0,34,2,107
Code Vein,2018.0,Action,Bandai Namco Entertainment,0.0,0.0,0.0,0.0,0.0,17,0,114
Radial G Racing Revolved,2017.0,Racing,Tammeka Games,0.0,0.0,0.0,0.0,0.0,124,10,511
